time,open,high,low,close,tick_volume,spread,real_volume
2022-01-03 00:00:00,0.72574,0.72663,0.72528,0.72658,48,160,0
2022-01-03 01:00:00,0.72658,0.7275,0.72658,0.72674,742,13,0
2022-01-03 02:00:00,0.72674,0.72737,0.72651,0.72653,887,14,0
2022-01-03 03:00:00,0.72653,0.7277,0.72534,0.72556,1251,13,0
2022-01-03 04:00:00,0.72555,0.72563,0.72456,0.72521,1140,14,0
2022-01-03 05:00:00,0.72521,0.72546,0.72393,0.72485,982,15,0
2022-01-03 06:00:00,0.72481,0.72536,0.72463,0.7249,490,13,0
2022-01-03 07:00:00,0.7249,0.72507,0.72454,0.72455,581,16,0
2022-01-03 08:00:00,0.72456,0.72535,0.7245,0.72529,827,14,0
2022-01-03 09:00:00,0.7253,0.72573,0.72501,0.72566,675,13,0
2022-01-03 10:00:00,0.72568,0.72633,0.72552,0.72609,1518,14,0
2022-01-03 11:00:00,0.72609,0.72617,0.72521,0.72552,851,13,0
2022-01-03 12:00:00,0.72548,0.72601,0.72495,0.72496,875,13,0
2022-01-03 13:00:00,0.72499,0.72519,0.72444,0.7248,957,13,0
2022-01-03 14:00:00,0.7248,0.7248,0.72402,0.72439,762,13,0
2022-01-03 15:00:00,0.72441,0.72445,0.72202,0.72227,1751,13,0
2022-01-03 16:00:00,0.72223,0.72223,0.71939,0.71962,2663,13,0
2022-01-03 17:00:00,0.7197,0.72015,0.71851,0.71868,2921,13,0
2022-01-03 18:00:00,0.71868,0.71956,0.71841,0.71936,1952,13,0
2022-01-03 19:00:00,0.71936,0.71985,0.71902,0.71964,1471,13,0
2022-01-03 20:00:00,0.71964,0.72007,0.71955,0.71993,1009,14,0
2022-01-03 21:00:00,0.71993,0.71993,0.71904,0.71905,1163,13,0
2022-01-03 22:00:00,0.71904,0.71926,0.71839,0.71872,1504,13,0
2022-01-03 23:00:00,0.71871,0.71926,0.71833,0.71839,810,13,0
2022-01-04 00:00:00,0.71836,0.7191,0.71836,0.71884,177,113,0
2022-01-04 01:00:00,0.71884,0.7197,0.71861,0.71959,691,14,0
2022-01-04 02:00:00,0.71959,0.71984,0.71915,0.71977,714,13,0
2022-01-04 03:00:00,0.71977,0.7207,0.71973,0.71998,1101,13,0
2022-01-04 04:00:00,0.71998,0.7204,0.71951,0.71988,684,13,0
2022-01-04 05:00:00,0.71988,0.7205,0.71965,0.72027,548,13,0
2022-01-04 06:00:00,0.72027,0.72146,0.72026,0.72109,641,13,0
2022-01-04 07:00:00,0.7211,0.72162,0.72077,0.72128,620,13,0
2022-01-04 08:00:00,0.72129,0.72153,0.72053,0.72085,701,13,0
2022-01-04 09:00:00,0.72084,0.72113,0.72016,0.72079,1134,14,0
2022-01-04 10:00:00,0.7208,0.72133,0.72072,0.72081,1456,13,0
2022-01-04 11:00:00,0.72081,0.72168,0.72068,0.72117,1137,13,0
2022-01-04 12:00:00,0.72116,0.72165,0.72056,0.72061,1118,13,0
2022-01-04 13:00:00,0.72061,0.72079,0.71959,0.71984,1722,13,0
2022-01-04 14:00:00,0.71983,0.71999,0.71851,0.71883,1489,13,0
2022-01-04 15:00:00,0.71885,0.72081,0.71885,0.7208,1928,13,0
2022-01-04 16:00:00,0.72081,0.72189,0.72046,0.72141,2312,13,0
2022-01-04 17:00:00,0.72152,0.72485,0.72152,0.72461,3194,13,0
2022-01-04 18:00:00,0.7246,0.72478,0.72309,0.72411,2252,13,0
2022-01-04 19:00:00,0.72411,0.72452,0.7237,0.72403,1175,13,0
2022-01-04 20:00:00,0.72398,0.72422,0.72315,0.72317,1289,13,0
2022-01-04 21:00:00,0.72316,0.72426,0.72311,0.72422,1151,13,0
2022-01-04 22:00:00,0.72422,0.7244,0.72385,0.72393,707,14,0
2022-01-04 23:00:00,0.72393,0.72433,0.72297,0.72311,427,13,0
2022-01-05 00:00:00,0.72255,0.72399,0.72255,0.72347,224,160,0
2022-01-05 01:00:00,0.72347,0.7242,0.72345,0.72383,739,13,0
2022-01-05 02:00:00,0.72384,0.72443,0.72364,0.72378,632,13,0
2022-01-05 03:00:00,0.72375,0.72423,0.72309,0.72336,914,15,0
2022-01-05 04:00:00,0.72336,0.72386,0.72302,0.72324,789,13,0
2022-01-05 05:00:00,0.72325,0.7236,0.72261,0.72349,694,14,0
2022-01-05 06:00:00,0.72349,0.72352,0.72301,0.72317,643,14,0
2022-01-05 07:00:00,0.72316,0.72328,0.72231,0.72256,672,14,0
2022-01-05 08:00:00,0.72255,0.72335,0.72246,0.72318,644,13,0
2022-01-05 09:00:00,0.72318,0.72382,0.72285,0.72345,950,13,0
2022-01-05 10:00:00,0.72347,0.7247,0.72326,0.72384,1588,13,0
2022-01-05 11:00:00,0.72384,0.72495,0.72384,0.72472,1640,13,0
2022-01-05 12:00:00,0.72472,0.72531,0.72464,0.72494,1263,13,0
2022-01-05 13:00:00,0.72494,0.72595,0.72461,0.72572,1249,13,0
2022-01-05 14:00:00,0.72576,0.72579,0.72487,0.72501,1311,13,0
2022-01-05 15:00:00,0.72501,0.72615,0.72494,0.72573,2364,13,0
2022-01-05 16:00:00,0.72576,0.72688,0.72556,0.72642,2053,14,0
2022-01-05 17:00:00,0.72641,0.72723,0.72575,0.72699,2331,13,0
2022-01-05 18:00:00,0.72699,0.72706,0.72564,0.726,1693,13,0
2022-01-05 19:00:00,0.72602,0.72686,0.72596,0.72633,1075,13,0
2022-01-05 20:00:00,0.72633,0.72657,0.72578,0.72601,909,13,0
2022-01-05 21:00:00,0.72601,0.72653,0.72207,0.7223,4902,13,0
2022-01-05 22:00:00,0.7223,0.7225,0.72171,0.72202,2526,13,0
2022-01-05 23:00:00,0.72201,0.72224,0.72152,0.72209,604,13,0
2022-01-06 00:00:00,0.72207,0.72207,0.72148,0.72192,187,25,0
2022-01-06 01:00:00,0.7219,0.72226,0.72141,0.72206,566,13,0
2022-01-06 02:00:00,0.72199,0.72207,0.72126,0.72152,768,13,0
2022-01-06 03:00:00,0.72153,0.72154,0.72049,0.72144,1232,13,0
2022-01-06 04:00:00,0.72146,0.72147,0.72001,0.72061,1105,13,0
2022-01-06 05:00:00,0.72061,0.72066,0.71884,0.71913,1049,13,0
2022-01-06 06:00:00,0.71914,0.71916,0.71754,0.71763,1046,13,0
2022-01-06 07:00:00,0.71764,0.71775,0.71698,0.71739,780,13,0
2022-01-06 08:00:00,0.71738,0.71738,0.71609,0.71618,1031,13,0
2022-01-06 09:00:00,0.71615,0.71653,0.7155,0.71563,1705,13,0
2022-01-06 10:00:00,0.71564,0.71621,0.71458,0.71508,2599,13,0
2022-01-06 11:00:00,0.71512,0.71598,0.71471,0.71563,1980,13,0
2022-01-06 12:00:00,0.71563,0.71775,0.71551,0.71732,2167,13,0
2022-01-06 13:00:00,0.71732,0.71735,0.7164,0.71682,1774,13,0
2022-01-06 14:00:00,0.71682,0.71743,0.71655,0.71699,1900,13,0
2022-01-06 15:00:00,0.71695,0.71727,0.716,0.71618,2177,13,0
2022-01-06 16:00:00,0.71617,0.7181,0.71566,0.71603,3409,13,0
2022-01-06 17:00:00,0.71628,0.7171,0.71492,0.7158,4751,13,0
2022-01-06 18:00:00,0.71582,0.7169,0.71558,0.71669,2708,13,0
2022-01-06 19:00:00,0.7167,0.71731,0.71623,0.71663,1861,13,0
2022-01-06 20:00:00,0.71661,0.71685,0.71602,0.71652,1555,13,0
2022-01-06 21:00:00,0.71652,0.71706,0.7162,0.71642,1525,13,0
2022-01-06 22:00:00,0.7164,0.71674,0.71591,0.71634,1889,13,0
2022-01-06 23:00:00,0.71635,0.71655,0.71574,0.71599,647,13,0
2022-01-07 00:00:00,0.71525,0.71665,0.71508,0.71601,205,113,0
2022-01-07 01:00:00,0.71601,0.71667,0.716,0.71623,571,13,0
2022-01-07 02:00:00,0.71623,0.71719,0.71621,0.717,866,14,0
2022-01-07 03:00:00,0.71699,0.71774,0.71699,0.7173,1108,13,0
2022-01-07 04:00:00,0.71727,0.71729,0.71624,0.71691,945,13,0
2022-01-07 05:00:00,0.71691,0.71733,0.71645,0.7166,767,13,0
2022-01-07 06:00:00,0.71661,0.71664,0.71573,0.71601,563,14,0
2022-01-07 07:00:00,0.71602,0.71637,0.71582,0.71635,604,14,0
2022-01-07 08:00:00,0.71635,0.7164,0.71529,0.7156,697,13,0
2022-01-07 09:00:00,0.7156,0.71586,0.71497,0.71541,1141,14,0
2022-01-07 10:00:00,0.71539,0.71541,0.71427,0.71513,1694,13,0
2022-01-07 11:00:00,0.71512,0.71563,0.7148,0.71554,1358,13,0
2022-01-07 12:00:00,0.71553,0.71605,0.71544,0.71578,905,13,0
2022-01-07 13:00:00,0.71578,0.7158,0.71532,0.71555,1096,13,0
2022-01-07 14:00:00,0.71554,0.71561,0.71482,0.71502,1084,13,0
2022-01-07 15:00:00,0.715,0.71688,0.71297,0.71393,4476,13,0
2022-01-07 16:00:00,0.7139,0.71727,0.71384,0.71677,4007,13,0
2022-01-07 17:00:00,0.71678,0.71743,0.71522,0.7164,3574,13,0
2022-01-07 18:00:00,0.71641,0.71856,0.71628,0.71851,2340,13,0
2022-01-07 19:00:00,0.71852,0.7186,0.71732,0.71779,1114,13,0
2022-01-07 20:00:00,0.71779,0.71845,0.71763,0.71828,852,14,0
2022-01-07 21:00:00,0.71827,0.71875,0.71803,0.71846,663,14,0
2022-01-07 22:00:00,0.71846,0.71855,0.71801,0.71815,843,14,0
2022-01-07 23:00:00,0.71815,0.71824,0.71785,0.71785,568,15,0
2022-01-10 00:00:00,0.71705,0.71791,0.71675,0.71782,119,113,0
2022-01-10 01:00:00,0.71782,0.71842,0.7172,0.71781,923,14,0
2022-01-10 02:00:00,0.71779,0.7188,0.71765,0.71845,730,13,0
2022-01-10 03:00:00,0.71844,0.71934,0.71832,0.7192,1019,13,0
2022-01-10 04:00:00,0.7192,0.71972,0.71903,0.71908,870,13,0
2022-01-10 05:00:00,0.71908,0.71927,0.7188,0.719,597,13,0
2022-01-10 06:00:00,0.71899,0.71975,0.71898,0.71916,714,13,0
2022-01-10 07:00:00,0.71916,0.71946,0.71895,0.71915,555,13,0
2022-01-10 08:00:00,0.71918,0.71947,0.71877,0.71947,660,13,0
2022-01-10 09:00:00,0.71943,0.72009,0.71934,0.71964,1193,13,0
2022-01-10 10:00:00,0.71964,0.7198,0.71767,0.71884,2383,13,0
2022-01-10 11:00:00,0.71886,0.71972,0.71883,0.71891,1639,13,0
2022-01-10 12:00:00,0.7189,0.72022,0.7188,0.71972,1505,13,0
2022-01-10 13:00:00,0.71972,0.71985,0.719,0.71906,1404,13,0
2022-01-10 14:00:00,0.71907,0.71931,0.71756,0.71756,1734,13,0
2022-01-10 15:00:00,0.71756,0.71812,0.7171,0.71715,2296,13,0
2022-01-10 16:00:00,0.71714,0.71727,0.7155,0.71553,2872,13,0
2022-01-10 17:00:00,0.71556,0.71626,0.71487,0.7161,3605,13,0
2022-01-10 18:00:00,0.71605,0.7174,0.71562,0.71703,2884,13,0
2022-01-10 19:00:00,0.71701,0.71727,0.71636,0.71659,1861,13,0
2022-01-10 20:00:00,0.71658,0.71732,0.71647,0.71693,1886,14,0
2022-01-10 21:00:00,0.71693,0.71713,0.71614,0.71699,1437,13,0
2022-01-10 22:00:00,0.71698,0.71774,0.71662,0.71766,1945,13,0
2022-01-10 23:00:00,0.71765,0.71766,0.71559,0.71589,622,13,0
2022-01-11 00:00:00,0.71592,0.7174,0.71589,0.71712,97,113,0
2022-01-11 01:00:00,0.71719,0.71809,0.71719,0.71796,454,13,0
2022-01-11 02:00:00,0.71797,0.71888,0.71774,0.7186,880,13,0
2022-01-11 03:00:00,0.71854,0.71865,0.7174,0.7177,1639,13,0
2022-01-11 04:00:00,0.71771,0.71885,0.71737,0.71868,1075,13,0
2022-01-11 05:00:00,0.71867,0.7196,0.71867,0.71897,919,13,0
2022-01-11 06:00:00,0.71896,0.71904,0.71844,0.71861,714,14,0
2022-01-11 07:00:00,0.71861,0.71931,0.71846,0.71905,832,13,0
2022-01-11 08:00:00,0.71907,0.71919,0.71674,0.7173,1113,14,0
2022-01-11 09:00:00,0.71728,0.71895,0.71716,0.71889,1624,13,0
2022-01-11 10:00:00,0.71889,0.7193,0.71803,0.71825,2314,13,0
2022-01-11 11:00:00,0.71824,0.71894,0.71818,0.71843,1573,13,0
2022-01-11 12:00:00,0.71844,0.71881,0.71782,0.71806,1158,13,0
2022-01-11 13:00:00,0.71806,0.71825,0.71734,0.71782,901,14,0
2022-01-11 14:00:00,0.71782,0.71821,0.71707,0.71712,1457,13,0
2022-01-11 15:00:00,0.71711,0.71755,0.71607,0.7165,1598,13,0
2022-01-11 16:00:00,0.71651,0.7167,0.71548,0.71638,3080,13,0
2022-01-11 17:00:00,0.71639,0.71836,0.7163,0.71794,4647,13,0
2022-01-11 18:00:00,0.71796,0.71988,0.71794,0.71955,3380,13,0
2022-01-11 19:00:00,0.71959,0.72008,0.71918,0.71972,1554,13,0
2022-01-11 20:00:00,0.71972,0.7213,0.71955,0.72129,1125,13,0
2022-01-11 21:00:00,0.72129,0.72134,0.72073,0.7208,1157,13,0
2022-01-11 22:00:00,0.7208,0.72113,0.72069,0.72104,1076,13,0
2022-01-11 23:00:00,0.72105,0.72122,0.72091,0.72097,631,13,0
2022-01-12 00:00:00,0.72101,0.72132,0.72064,0.72086,175,45,0
2022-01-12 01:00:00,0.72084,0.72139,0.72081,0.72097,444,13,0
2022-01-12 02:00:00,0.72097,0.72165,0.72083,0.72141,745,13,0
2022-01-12 03:00:00,0.72141,0.72144,0.72046,0.72091,1178,13,0
2022-01-12 04:00:00,0.72093,0.72138,0.72067,0.72138,975,13,0
2022-01-12 05:00:00,0.72137,0.72191,0.72133,0.7219,692,13,0
2022-01-12 06:00:00,0.7219,0.72198,0.72158,0.7217,524,13,0
2022-01-12 07:00:00,0.7217,0.72184,0.72142,0.72174,584,14,0
2022-01-12 08:00:00,0.72174,0.72231,0.72136,0.72141,606,13,0
2022-01-12 09:00:00,0.7214,0.72162,0.72012,0.7205,1315,13,0
2022-01-12 10:00:00,0.72049,0.72113,0.72004,0.72047,1756,13,0
2022-01-12 11:00:00,0.72047,0.72126,0.72033,0.72117,1328,13,0
2022-01-12 12:00:00,0.72116,0.72134,0.72072,0.72095,966,14,0
2022-01-12 13:00:00,0.72097,0.72132,0.72089,0.72101,887,13,0
2022-01-12 14:00:00,0.72103,0.72157,0.7208,0.72132,1194,13,0
2022-01-12 15:00:00,0.72136,0.72526,0.721,0.72497,4045,13,0
2022-01-12 16:00:00,0.72497,0.72675,0.72442,0.72631,3835,13,0
2022-01-12 17:00:00,0.72635,0.72812,0.72621,0.72689,3692,13,0
2022-01-12 18:00:00,0.7269,0.72791,0.72661,0.72791,2771,13,0
2022-01-12 19:00:00,0.72792,0.72855,0.72724,0.72836,1843,13,0
